image,mask,dataset,class,split
BUSI/Dataset_BUSI_with_GT/malignant/malignant (36).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (36)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (29).png,BUSI/Dataset_BUSI_with_GT/benign/benign (29)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (107).png,BUSI/Dataset_BUSI_with_GT/benign/benign (107)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (66).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (66)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (369).png,BUSI/Dataset_BUSI_with_GT/benign/benign (369)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (419).png,BUSI/Dataset_BUSI_with_GT/benign/benign (419)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (86).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (86)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (30).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (30)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (175).png,BUSI/Dataset_BUSI_with_GT/benign/benign (175)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (366).png,BUSI/Dataset_BUSI_with_GT/benign/benign (366)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (137).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (137)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (282).png,BUSI/Dataset_BUSI_with_GT/benign/benign (282)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (276).png,BUSI/Dataset_BUSI_with_GT/benign/benign (276)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (35).png,BUSI/Dataset_BUSI_with_GT/benign/benign (35)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (183).png,BUSI/Dataset_BUSI_with_GT/benign/benign (183)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (18).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (18)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (190).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (190)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (47).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (47)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (124).png,BUSI/Dataset_BUSI_with_GT/benign/benign (124)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (265).png,BUSI/Dataset_BUSI_with_GT/benign/benign (265)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (73).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (73)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (26).png,BUSI/Dataset_BUSI_with_GT/benign/benign (26)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (333).png,BUSI/Dataset_BUSI_with_GT/benign/benign (333)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (237).png,BUSI/Dataset_BUSI_with_GT/benign/benign (237)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (167).png,BUSI/Dataset_BUSI_with_GT/benign/benign (167)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (420).png,BUSI/Dataset_BUSI_with_GT/benign/benign (420)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (182).png,BUSI/Dataset_BUSI_with_GT/benign/benign (182)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (417).png,BUSI/Dataset_BUSI_with_GT/benign/benign (417)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (160).png,BUSI/Dataset_BUSI_with_GT/benign/benign (160)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (45).png,BUSI/Dataset_BUSI_with_GT/benign/benign (45)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (40).png,BUSI/Dataset_BUSI_with_GT/benign/benign (40)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (269).png,BUSI/Dataset_BUSI_with_GT/benign/benign (269)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (112).png,BUSI/Dataset_BUSI_with_GT/benign/benign (112)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (97).png,BUSI/Dataset_BUSI_with_GT/benign/benign (97)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (73).png,BUSI/Dataset_BUSI_with_GT/benign/benign (73)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/benign/benign (179).png,BUSI/Dataset_BUSI_with_GT/benign/benign (179)_mask.png,BUSI,benign,train
BUSI/Dataset_BUSI_with_GT/malignant/malignant (194).png,BUSI/Dataset_BUSI_with_GT/malignant/malignant (194)_mask.png,BUSI,malignant,train
BUSI/Dataset_BUSI_with_GT/benign/benign (204).png,BUSI/Dataset_BUSI_with_GT/benign/benign (204)_mask.png,BUSI,benign,train
